id,daySlotId,componentRole,nombre,descripcion,calorias,imagen,tipo,catalogItemId
97ff9da9-0a9c-4493-ade4-e9bb37c9ea99,3de2754c-a227-4286-8354-4867664bd98e,PLATILLO_PRINCIPAL,Chiles rellenos de panela,Menu basado en la imagen de referencia.,662,/images/placeholder-menu.jpg,cena,67dcb986-e98c-4f98-bcdd-62032d19f305
994ed160-fdf8-4416-a7fb-5fb5b9623a65,d2a060e5-3ec1-4ce3-84cf-366b85cec2d4,PLATILLO_PRINCIPAL,Ensalada de pollo,,542,,cena,506255bc-227f-496e-932a-e558410889ce
9aa3fa3f-8e9b-45e1-bdab-8a6e59dafd77,fea12d2f-f95d-4b0a-bab7-d51f60373f8c,GUARNICION_1,Frijol,,278,/images/placeholder-menu.jpg,guarnicion,475ae4c8-19a7-468a-92b3-7408c2af1b73
9abc845f-e734-4b92-9749-df516f8e17ab,b0688fad-9e21-465b-a8fb-208dbddf5df9,PLATILLO_PRINCIPAL,Tacos de carne asada,,557,,cena,23c50f67-45a5-48e8-972c-50080d854460
9dcab728-ae6e-4a7d-ab4a-6057e4ca8661,21b48d54-129f-4b9f-ad9c-ecd5c196271d,PLATILLO_PRINCIPAL,Pescado con mostaza,,195,,comida,1604d450-3f71-419e-a62c-15e8557f606c
9e5d36a0-0a5f-4ae3-bd33-5c1a71883806,19ccf541-097a-44c6-9180-039ecdcc9a5b,GUARNICION_1,Frijol,,278,/images/placeholder-menu.jpg,guarnicion,475ae4c8-19a7-468a-92b3-7408c2af1b73
9ef2db90-9b80-4d34-9f87-97e9f0d3e791,27e73bf5-d30d-4e3f-ab88-25a6ec7e0766,PLATILLO_PRINCIPAL,Colacion 2 pendiente,,0,/images/placeholder-menu.jpg,snack,
9f01cf73-9c46-4822-8de7-3b91686a8014,334bd39a-604f-4594-b483-44cf5ec5010f,GUARNICION_1,Arroz rojo,,226,/images/placeholder-menu.jpg,guarnicion,5c94991f-97a5-4964-83ce-28c6a411f524
9f2dacfb-2daa-4dfd-b121-6451574bf802,39fa1fa3-ef8d-4025-85c5-7c21ce618220,GUARNICION_1,Puré de papa,,123,,guarnicion,
a01d3fbc-da99-4001-a466-6e675337a4a2,27b2f720-05d0-4778-8159-a4e5f5e7e4a6,PLATILLO_PRINCIPAL,Sin colacion asignada,,0,/images/placeholder-menu.jpg,snack,
a4dee336-bb06-4b88-9edc-e70582ded2ec,69c3ae4d-1cfe-4d54-87c3-15225dd654bb,GUARNICION_1,Chilaquiles verdes,,228,/images/placeholder-menu.jpg,guarnicion,6dd6f4ab-7917-4bd7-84d7-bc980e659140
a72f4adf-b5f5-478c-b4c7-3fab774acb3c,114b1a6e-0020-4e91-bf93-9aa136eff215,PLATILLO_PRINCIPAL,Pancakes de zanahoria,,451,,desayuno,042a03e3-31f4-4f0c-85cf-a1f68aef63a2
a77299f8-b632-462e-aab6-78ee6ac4413c,a5355597-2887-4f92-92a3-d58407c9e2bc,GUARNICION_1,Frijol,,278,/images/placeholder-menu.jpg,guarnicion,475ae4c8-19a7-468a-92b3-7408c2af1b73
a7bc7985-086b-4670-9d4f-9c9861110eb8,6ca844fe-e82f-4ab4-a20a-f498869f556a,PLATILLO_PRINCIPAL,Yogurt con fruta,,123,,snack,bb153e11-3fb9-47e2-a065-40d819e151d2
a8bc3c98-9e6f-44e1-ab42-ff98d1f94e11,aaec9ce6-c119-4169-8dc1-a3b6bb3f738f,PLATILLO_PRINCIPAL,yogurt con fruta,,123,,snack,
a984806a-e145-484a-b95c-e51b1a710108,e49c6aeb-618b-4903-8e58-6b9a217cb976,PLATILLO_PRINCIPAL,Sin menu asignado,,0,/images/placeholder-menu.jpg,cena,
aaf11306-1a11-4553-a7c5-b27908350ab6,7242179f-6096-435f-a04c-52c90eddd7a0,PLATILLO_PRINCIPAL,Yogurt con fruta,,123,,snack,bb153e11-3fb9-47e2-a065-40d819e151d2
